Tabela Encadeada: 
(A : 2120231)
(rebel : 2118910)
(statement : 2119491)
(sent : 2114013)
(to : 2121040)
(Lisbon : 2034173)
(from : 2120994)
(Jamba : 7)
(said : 2121045)
(86 : 1858920)
(government : 2120143)
(soldiers : 2118762)
(and : 2121034)
(13 : 2106095)
(guerrillas : 2117078)
(were : 2120567)
(killed : 2117568)
(in : 2120974)
(the : 2121052)
(fighting : 2119214)
(that : 2121029)
(ended : 2104858)
(Jan : 2118504)
(3 : 2120646)
(It : 2120870)
(forces : 2118728)
(sill : 1874527)
(held : 2120230)
(Mavinga : 31)
(Authorities : 2100198)
(last : 2119899)
(week : 2119452)
(issued : 2109693)
(a : 2121002)
(vacate : 1290702)
(order : 2113062)
(for : 2120922)
(club : 2116187)
(Manhattan : 2060187)
(closed : 2118030)
(another : 2117879)
(Bronx : 1512104)
(At : 2120968)
(first : 2120490)
(Pan : 2112379)
(Am : 2109430)
(bankruptcy : 2112877)
(hearing : 2118558)
(example : 2115908)
(at : 2120764)
(least : 2118333)
(five : 2120252)
(airlines : 2114116)
(represented : 2115515)
(Mr : 2120180)
(Neigum : 1815702)
(poker-faced : 67)
(during : 2116776)
(difficult : 2119389)
(task : 2119536)
(manages : 2099280)
(46-second : 74)
(showing : 2120206)
(This : 2118157)
(combined : 2093665)
(with : 2120507)
(container : 1959041)
(division : 2113262)
(talks : 2120019)
(suggests : 2083204)
(group's : 2115953)
(bankers : 2119431)
(might : 2118096)
(be : 2120640)
(considering : 2116337)
(an : 2120184)
(orderly : 1591997)
(disposal : 2118376)
(of : 2121051)
(all : 2119619)
(assets : 2119285)
(She : 2120155)
(told : 2120100)
(Post : 2079641)
(interview : 2115176)
(published : 2115177)
(Sunday : 2120991)
(some : 2119514)
(money : 2121053)
(may : 2117595)
(have : 2120554)
(become : 2120323)
(mingled : 1600778)
(into : 2119862)
(improvements : 2064109)
(on : 2120875)
(her : 2120963)
(home : 2119094)
(included : 2120267)
(swimming : 2117496)
(pool : 2118636)
(2,500 : 1955438)
(wide-screen : 2032104)
(television : 2120763)
(renovations : 715774)
(basement : 2022270)
(According : 2107315)
(study : 2119692)
(by : 2120845)
(Marshall : 1967629)
(Institute : 2113203)
(average : 2104141)
(NASA : 2084972)
(employee's : 1673637)
(age : 2108216)
(1963 : 2113103)
(was : 2121030)
(30 : 2120634)
(now : 2120665)
(most : 2119037)
(its : 2120748)
(senior : 2120088)
(middle-managers : 156)
(will : 2121035)
(eligible : 2089265)
(retire : 2095677)
(years : 2120789)
(Preston : 2046035)
(Tisch : 2042624)
(62 : 1947828)
(is : 2120882)
(president : 2120098)
(co-chief : 171)
(executive : 2120106)
(officer : 2120084)
(Loews : 2042629)
(Corp : 2113136)
(former : 2117110)
(postmaster : 1456036)
(general : 2121004)
(We're : 2112016)
(dealing : 2095708)
(owner : 2115472)
(who : 2120986)
(couldn't : 2099313)
(give : 2120481)
(rip : 1034536)
(They : 2117127)
(cut : 2118794)
(off : 2119438)
(mail : 2120058)
(she : 2121017)
(got : 2119768)
(post : 2112276)
(office : 2120348)
(box : 2042118)
(Starting : 1339172)
(Friday : 2121013)
(animal-control : 208)
(accompanying : 2078679)
(Finster : 212)
(his : 2120950)
(route : 2107326)
(Asked : 2092588)
(if : 2120615)
(he : 2121046)
(bring : 2120949)
(world : 2119377)
(leaders : 2114235)
(Texas : 2116664)
(possibly : 2109860)
(San : 2119910)
(Antonio : 2069948)
(remarked : 1861227)
(That's : 2108202)
(distinct : 1971015)
(possibility : 2099716)
(He : 2121044)
(Muscovites : 1461015)
(gave : 2112001)
(him : 2120157)
(89 : 2021766)
(percent : 2119905)
(vote : 2118973)
(two-way : 1682266)
(race : 2104472)
(March : 2116603)
(would : 2120933)
(partially : 2078985)
(satisfied : 2118455)
(On : 2119307)
(march : 2064217)
(Pushkin : 1003227)
(Square : 2017764)
(city : 2116519)
(bus : 2118260)
(stopped : 2112683)
(dozens : 2096805)
(passengers : 2119327)
(join : 2120662)
(Changes : 2117926)
(VAT : 2095730)
(rules : 2115647)
(mean : 2114151)
(Pounds : 2115942)
(900m : 1961728)
(tax : 2120318)
(payment : 2090464)
(second : 2119036)
(half : 2116688)
(came : 2120942)
(up : 2120215)
(me : 2119588)
(You : 2109399)
(tell : 2119402)
(Mickey : 1973526)
(Roache : 1504139)
(our : 2115733)
(police : 2120985)
(commissioner : 2105595)
(he's : 2116535)
(doing : 2119932)
(wonderful : 2107615)
(job : 2116404)
(Stuart : 2090927)
(case : 2120290)
(we're : 2114514)
(way : 2119960)
(Flynn : 2068012)
(The : 2120880)
(tried : 2117416)
(forestall : 1903417)
(any : 2121050)
(criticism : 2106000)
(African : 2099202)
(countries : 2119417)
(accused : 2120892)
(it : 2121043)
(being : 2120229)
(too : 2117733)
(cooperative : 2091188)
(South : 2115876)
(Africa : 2107004)
(But : 2120542)
(official : 2120411)
(left : 2120149)
(open : 2111022)
(such : 2120741)
(trials : 2114827)
(Saddam : 2120395)
(Hussein : 2105901)
(clique : 1910250)
(other : 2120677)
(officers : 2116201)
(committing : 2065262)
(atrocities : 1865359)
(Kuwait : 2104629)
(My : 2082869)
(husband : 2113942)
(says : 2118773)
(not : 2121048)
(sure : 2113691)
(he'll : 1906376)
(employed : 2120524)
(next : 2118113)
(month : 2114136)
(Some : 2108936)
(retailers : 2100261)
(insist : 2096511)
(promotional : 2110097)
(sales : 2119282)
(savings : 2102949)
(coupons : 2036679)
(marketing : 2120821)
(efforts : 2113571)
(are : 2120917)
(drawing : 2120701)
(customers : 2119485)
(We : 2119446)
(look : 2120614)
(forward : 2111846)
(providing : 2074872)
(unique : 2085584)
(exciting : 2068040)
(shopping : 2088817)
(experience : 2104669)
(region : 2117723)
(Macy's : 1976233)
(operates : 2115484)
(149 : 1830726)
(department : 2116897)
(stores : 2119464)
(United : 2119408)
(States : 2119409)
(under : 2121025)
(names : 2062748)
(Bullock's : 620942)
(I : 2119216)
(Magnin : 620940)
(major : 2112644)
(banks : 2114577)
(their : 2121011)
(rates : 2119840)
(unchanged : 2115317)
(after : 2120314)
(Black : 2110091)
(Monday : 2121033)
(those : 2119421)
(three : 2120907)
(quickly : 2117734)
(lowered : 2098984)
(back : 2120698)
(9 : 2118920)
(1/2 : 2102201)
(So : 2120597)
(joined : 2097967)
(Hyatt's : 453)
(frequent-guest : 454)
(program : 2115092)
(so : 2120787)
(far : 2118251)
(has : 2120783)
(cashed : 1856485)
(discounted : 2088390)
(upgraded : 1855962)
(rooms : 2047811)
(De : 2110352)
(Klerk : 2058399)
(Wednesday's : 2098566)
(balloting : 2036893)
(ratified : 2039570)
(reforms : 2103168)
(results : 2118134)
(highly : 2118540)
(encouraging : 2025670)
(Auxiliary : 1460682)
(Bishop : 2097890)
(James : 2111984)
(T : 2078356)
(McHugh : 1694589)
(Newark : 2071640)
(N.J : 2118719)
(director : 2113124)
(church's : 1963898)
(Diocesan : 493)
(Development : 2101696)
(Program : 2117373)
(Natural : 2089571)
(Family : 2091159)
(Planning : 2113983)
(Hoover : 2011634)
(expects : 2118329)
(industry : 2119170)
(revenue : 2119967)
(grow : 2119560)
(19 : 2118505)
(annually : 2118486)
(reaching : 2073121)
(1990 : 2118448)
(level : 2121028)
(more : 2120065)
(than : 2120066)
(double : 2096692)
(year's : 2119900)
(estimated : 2117144)
(6 : 2119111)
(billion : 2120647)
(entree : 1154063)
(like : 2119810)
(politicking : 1279857)
(gossiping : 527)
(varies : 2034870)
(each : 2120636)
(Under : 2115644)
(civil : 2120289)
(settlement : 2119115)
(Boesky-related : 537)
(cases : 2112568)
(reached : 2119313)
(January : 2117860)
(46 : 2105527)
(investors : 2116969)
(Boesky's : 2107339)
(partnership : 2106621)
(receive : 2114483)
(248 : 833609)
(million : 2120635)
(liquidation : 2032629)
(proceedings : 2112878)
(In-Store's : 555)
(Steve : 2080162)
(Kahler : 79699)
(doesn't : 2111209)
(view : 2110783)
(Shoppers : 1990009)
(Video : 1892201)
(as : 2120210)
(big : 2119996)
(threat : 2117471)
(Quaker : 2102586)
(Oats : 2059143)
(Co : 2119455)
(today : 2118974)
(reported : 2118107)
(9.2 : 1990607)
(drop : 2114585)
(third-quarter : 2105524)
(earnings : 2108541)
(citing : 2043842)
(extraordinary : 2109684)
(expense : 2111737)
(20.7 : 2091213)
(stemming : 2060582)
(consolidation : 2094534)
(European : 2120598)
(food-manufacturing : 594)
(operations : 2112975)
(Can : 2085823)
(we : 2116727)
(never : 2119779)
(see : 2120619)
(eye-to-eye : 600)
(until : 2119433)
(120 : 2091549)
(Japanese : 2119168)
(Christians : 1993898)
(encounter : 1913352)
(occurred : 2119040)
(late : 2117465)
(1980s : 2116978)
(when : 2120237)
(overheard : 1887640)
(comment : 2120738)
(passed : 2109751)
(meeting : 2116778)
(room : 2116307)
(New : 2120736)
(York : 2120737)
(head : 2115700)
(financial : 2120896)
(organization : 2111550)
(In : 2120515)
(addition : 2114821)
(union : 2120426)
(management : 2113035)
(promised : 2094225)
(work : 2119982)
(together : 2110314)
(resolve : 2113573)
(problems : 2120448)
(arising : 1963030)
(layoffs : 2114121)
(production : 2118053)
(schedule : 2108484)
(changes : 2117932)
(investments : 2104913)
(day-to-day : 1598365)
(decisions : 2105077)
(once : 2116478)
(entirely : 2099775)
(While : 2116482)
(Gulf : 2118827)
(campaign : 2112346)
(remain : 2121023)
(seen : 2115214)
(also : 2120544)
(arousing : 673096)
(company's : 2117319)
(easily : 2105924)
(aroused : 2054982)
(critics : 2117468)
(item : 2105025)
(veto : 2120654)
(simple : 2109414)
(politically : 2091635)
(neutral : 2116837)
(device : 2089649)
(bringing : 2119025)
(about : 2120633)
(economy : 2117590)
(efficiency : 2076722)
(isn't : 2118709)
(hostile : 2089380)
(offer : 2119275)
(Rose : 2113771)
(chairman : 2112259)
(chief : 2120082)
(Audio/Video : 1561353)
(Dayton : 2034505)
(Ohio-based : 1477606)
(electronics : 2120534)
(parts : 2112092)
(distibutor : 727)
(long : 2119868)
(term : 2119947)
(stock : 2119660)
(drilling : 2054804)
(company : 2120095)
(value : 2120829)
(but : 2120387)
(assigning : 2082794)
(much : 2119449)
(this : 2120092)
(point : 2101223)
(analysts : 2118041)
(believe : 2118640)
(CBS : 2119243)
(network : 2104515)
(had : 2120906)
(loss : 2120261)
(20 : 2119042)
(fourth : 2117906)
(quarter : 2119902)
(show : 2119231)
(current : 2115511)
(period : 2114965)
(yield : 2097261)
(30-year : 2093198)
(Treasury : 2120369)
(bonds : 2118726)
(fell : 2117943)
(8.54 : 2065799)
(lowest : 2096908)
(since : 2120492)
(mid-July : 1810524)
(year : 2120005)
(down : 2120756)
(1/8 : 2101222)
(recently : 2119805)
(two : 2120813)
(weeks : 2118156)
(ago : 2119857)
(kit : 2070678)
(adaptor : 948543)
(crocodile : 816)
(clips : 2022608)
(enabling : 1874575)
(access : 2106748)
(made : 2120533)
(directly : 2108610)
(convenient : 1916901)
(wall : 2117490)
(Last : 2119034)
(FDA : 2119487)
(allow : 2112653)
(people : 2120945)
(life-threatening : 2029389)
(illnesses : 1949727)
(import : 2072563)
(personal : 2112876)
(supplies : 2103956)
(unapproved : 846)
(drugs : 2119504)
(That : 2120578)
(quite : 2118353)
(impossible : 2079334)
(without : 2120073)
(either : 2108606)
(uncounted : 859)
(cash : 2116763)
(subsidies : 2084802)
(or : 2120373)
(in-kind : 860)
(aid : 2118326)
(frees : 860935)
(otherwise : 2094772)
(needed : 2118195)
(necessities : 1687140)
(No : 2113634)
(children : 2119731)
(sixth-grade : 877)
(classroom : 2086229)
(Most : 2112180)
(Pure : 881)
(Heart : 1873726)
(Mary : 2107617)
(School : 2065394)
(hit : 2118997)
(As : 2119867)
(wines : 2068267)
(Beaujolais : 1872120)
(nouveau : 1170224)
(normally : 2079707)
(considered : 2118672)
(inexpensive : 1815811)
(lightweight : 1362093)
(served : 2116852)
(bellwether : 2056391)
(both : 2120484)
(quality : 2112250)
(price : 2120631)
(market : 2119846)
(bear : 2055512)
(sterling : 1993845)
(overseas : 2120820)
(equities : 2078934)
(greatly : 2090045)
(increased : 2120819)
(worked : 2101857)
(out : 2120943)
(well : 2118218)
(end : 2120002)
(nevertheless : 1932291)
(fundamentals : 2102231)
(UK : 2082739)
(equity : 2119026)
(valuation : 2012417)
(stretched : 1813000)
(been : 2120784)
(rallying : 1860503)
(hundreds : 2120976)
(thousands : 2120529)
(push : 2109736)
(control : 2115879)
(over : 2120458)
(Kosovo : 2119072)
(ancient : 2068464)
(Slav : 1559340)
(heartland : 2119076)
(bordering : 1692972)
(Albania : 2085719)
(dominated : 2087643)
(ethnic : 2112805)
(Albanians : 2119066)
(beginning : 2113356)
(Mexican : 2035178)
(attitude : 2061325)
(very : 2120452)
(macho : 1236294)
(gut : 2040102)
(reaction : 2120873)
(consumers : 2113593)
(wouldn't : 2112377)
(aware : 2048504)
(alleged : 2118596)
(safety : 2117149)
(J.D : 1530286)
(Powers : 2033299)
(Cedergren : 2011274)
(Stock : 2114816)
